interactionID	basisOfRecord	sourceTaxonId	sourceTaxonName	sourceVerbatimName	sourceFamilyName	sourceCommonName	sourceSexName	sourceSexID	sourceLifeStageName	sourceAssociatedSequences	interactionTypeId	isNegated	interactionTypeName	targetBodyPartName	targetBodyPartId	experimentalConditionName	experimentalConditionId	targetTaxonId	targetTaxonName	targetVerbatimName	targetFamilyName	targetCommonName	targetLifeStageName	targetAssociatedSequences	country	stateProvince	county	verbatimLocality	localityId	locality	habitat	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	georeferenceRemarks	minimumElevationInMeters	maximumElevationInMeters	verbatimEventDate	eventDate	eventTime	referenceDoi	referenceCitation	referenceType	primarySource	enteredBy	notes
	literatureRecord	https://www.gbif.org/species/1343206	Lisotrigona furva		Apidae						http://purl.obolibrary.org/obo/OMIT_0005582		drinking	eye	http://purl.obolibrary.org/obo/OMIT_0006347	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/2436436	Homo sapiens	man	Hominidae	Human	Adult		Thailand	Chumphon		Phato, 300 m a.s.l		Phato, 300 m a.s.l	seasonally dry and in everwet climates, in primary and secondary forests, and in more or less synanthropic habitats						300	December 2007 - November 2008			10.2317/jkes0811.17.1	Bänziger, H., Boongird, S., Sukumalanand, P., & Bänziger, S. (2009). Bees (Hymenoptera: Apidae) That Drink Human Tears. Journal of the Kansas Entomological Society, 82(2), 135–150. https://doi.org/10.2317/jkes0811.17.1		TRUE	zachary_brown	
	literatureRecord	https://www.gbif.org/species/1343206	Lisotrigona furva		Apidae						http://purl.obolibrary.org/obo/OMIT_0005582		drinking	eye	http://purl.obolibrary.org/obo/OMIT_0006347	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/2436436	Homo sapiens	man	Hominidae	Human	Adult		Thailand	Phang Nga		hills above Phang Nga		hills above Phang Nga	seasonally dry and in everwet climates, in primary and secondary forests, and in more or less synanthropic habitats							December 2007 - November 2008			10.2317/jkes0811.17.1	Bänziger, H., Boongird, S., Sukumalanand, P., & Bänziger, S. (2009). Bees (Hymenoptera: Apidae) That Drink Human Tears. Journal of the Kansas Entomological Society, 82(2), 135–150. https://doi.org/10.2317/jkes0811.17.1		TRUE	zachary_brown	
	literatureRecord	https://www.gbif.org/species/1343206	Lisotrigona furva		Apidae						http://purl.obolibrary.org/obo/OMIT_0005582		drinking	eye	http://purl.obolibrary.org/obo/OMIT_0006347	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/2436436	Homo sapiens	man	Hominidae	Human	Adult		Thailand	Chiang Mai		near Ton Luang Temple, 760 m a.s.l Chiang Dao		near Ton Luang Temple, 760 m a.s.l Chiang Dao	seasonally dry and in everwet climates, in primary and secondary forests, and in more or less synanthropic habitats						760	December 2007 - November 2008			10.2317/jkes0811.17.1	Bänziger, H., Boongird, S., Sukumalanand, P., & Bänziger, S. (2009). Bees (Hymenoptera: Apidae) That Drink Human Tears. Journal of the Kansas Entomological Society, 82(2), 135–150. https://doi.org/10.2317/jkes0811.17.1		TRUE	zachary_brown	
	literatureRecord	https://www.gbif.org/species/1343206	Lisotrigona furva		Apidae						http://purl.obolibrary.org/obo/OMIT_0005582		drinking	eye	http://purl.obolibrary.org/obo/OMIT_0006347	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/2436436	Homo sapiens	man	Hominidae	Human	Adult		Thailand	Pang Ma Pha		Pang Ma Pha village, 590 m a.s.l		Pang Ma Pha village, 590 m a.s.l	seasonally dry and in everwet climates, in primary and secondary forests, and in more or less synanthropic habitats						590	December 2007 - November 2008			10.2317/jkes0811.17.1	Bänziger, H., Boongird, S., Sukumalanand, P., & Bänziger, S. (2009). Bees (Hymenoptera: Apidae) That Drink Human Tears. Journal of the Kansas Entomological Society, 82(2), 135–150. https://doi.org/10.2317/jkes0811.17.1		TRUE	zachary_brown	
	literatureRecord	https://www.gbif.org/species/1339541	Pariotrigona klossi		Apidae						http://purl.obolibrary.org/obo/OMIT_0005582		drinking	eye	http://purl.obolibrary.org/obo/OMIT_0006347	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/2436436	Homo sapiens	man	Hominidae	Human	Adult		Thailand	Phang Nga		hills above Phang Nga		hills above Phang Nga	primary evergreen forests on limestone							December 2007 - November 2008			10.2317/jkes0811.17.1	Bänziger, H., Boongird, S., Sukumalanand, P., & Bänziger, S. (2009). Bees (Hymenoptera: Apidae) That Drink Human Tears. Journal of the Kansas Entomological Society, 82(2), 135–150. https://doi.org/10.2317/jkes0811.17.1		TRUE	zachary_brown	
	literatureRecord	https://www.gbif.org/species/1343206	Lisotrigona furva		Apidae						http://purl.obolibrary.org/obo/RO_0002618		visits			in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/5658596	Tetrastigma baenzigerii		Vitaceae	Liana			Thailand													December 2007 - November 2008			10.2317/jkes0811.17.1	Bänziger, H., Boongird, S., Sukumalanand, P., & Bänziger, S. (2009). Bees (Hymenoptera: Apidae) That Drink Human Tears. Journal of the Kansas Entomological Society, 82(2), 135–150. https://doi.org/10.2317/jkes0811.17.1		TRUE	zachary_brown	
	literatureRecord	https://www.gbif.org/species/1343206	Lisotrigona furva		Apidae						http://purl.obolibrary.org/obo/RO_0002618		visits			in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/5658426	Tetrastigma hookeri		Vitaceae	Liana			Thailand													December 2007 - November 2008			10.2317/jkes0811.17.1	Bänziger, H., Boongird, S., Sukumalanand, P., & Bänziger, S. (2009). Bees (Hymenoptera: Apidae) That Drink Human Tears. Journal of the Kansas Entomological Society, 82(2), 135–150. https://doi.org/10.2317/jkes0811.17.1		TRUE	zachary_brown	
	literatureRecord		Pachyhalictus burmanus		Halictidae						http://purl.obolibrary.org/obo/RO_0002455		pollinates			in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/5658596	Tetrastigma baenzigerii		Vitaceae	Liana			Thailand																10.2317/jkes0811.17.1	Bänziger, H., Boongird, S., Sukumalanand, P., & Bänziger, S. (2009). Bees (Hymenoptera: Apidae) That Drink Human Tears. Journal of the Kansas Entomological Society, 82(2), 135–150. https://doi.org/10.2317/jkes0811.17.1		FALSE	zachary_brown	
	literatureRecord		Pachyhalictus burmanus		Halictidae						http://purl.obolibrary.org/obo/RO_0002455		pollinates			in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/5658426	Tetrastigma hookeri		Vitaceae	Liana			Thailand																10.2317/jkes0811.17.1	Bänziger, H., Boongird, S., Sukumalanand, P., & Bänziger, S. (2009). Bees (Hymenoptera: Apidae) That Drink Human Tears. Journal of the Kansas Entomological Society, 82(2), 135–150. https://doi.org/10.2317/jkes0811.17.1		FALSE	zachary_brown	
	literatureRecord	https://www.gbif.org/species/1343207	Lisotrigona cacciae		Apidae						http://purl.obolibrary.org/obo/RO_0002618	TRUE	visits			in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/5394682	Wedelia trilobata		Asteraceae	Bay Biscayne creeping-oxeye, Singapore daisy, creeping-oxeye, trailing daisy, and wedelia			Thailand	Chiang Mai		at water fall, Pha Lad forest temple, 300 m from Doi Suthep		at water fall, Pha Lad forest temple, 300 m from Doi Suthep	seasonally dry and in everwet climates, in primary and secondary forests, and in more or less synanthropic habitats							December 2007 - November 2008			10.2317/jkes0811.17.1	Bänziger, H., Boongird, S., Sukumalanand, P., & Bänziger, S. (2009). Bees (Hymenoptera: Apidae) That Drink Human Tears. Journal of the Kansas Entomological Society, 82(2), 135–150. https://doi.org/10.2317/jkes0811.17.1		TRUE	zachary_brown	
