interactionID	basisOfRecord	sourceTaxonId	sourceTaxonName	sourceVerbatimName	sourceFamilyName	sourceCommonName	sourceSexName	sourceSexID	sourceLifeStageName	sourceAssociatedSequences	interactionTypeId	isNegated	interactionTypeName	targetBodyPartName	targetBodyPartId	experimentalConditionName	experimentalConditionId	targetTaxonId	targetTaxonName	targetVerbatimName	targetFamilyName	targetCommonName	targetLifeStageName	targetAssociatedSequences	country	stateProvince	county	verbatimLocality	localityId	locality	habitat	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	georeferenceRemarks	minimumElevationInMeters	maximumElevationInMeters	verbatimEventDate	eventDate	eventTime	otherTraits	referenceDoi	referenceCitation	referenceType	primarySource	enteredBy	notes
2410	literatureRecord	https://www.gbif.org/species/1356074	Perdita nuda		Andrenidae	small mining bee					http://purl.obolibrary.org/obo/RO_0008506		ecologically co-occurs with	nest	http://purl.obolibrary.org/obo/ENVO_00005803	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/3256268	Sphecodes		Halictidae	blood bee			United States	Idaho	Franklin	low hill adjacnt to Bear River, 3 miles northwest of Preston			sedimentation of the river and was composed mostly of river bottom gravel that was interrupted periodically by narrow veins of coarse-to-fine-grained sand							1974	1974				Torchio, P. F. (1975). The biology of Perdita nuda and descriptions of its immature forms and those of its Sphecodes parasite (Hymenoptera: Apoidea). Journal of the Kansas Entomological Society, 48, 257–279.		TRUE	zachary_brown	larvae collected from cell nest
2411	literatureRecord	https://www.gbif.org/species/1356074	Perdita nuda		Andrenidae	small mining bee					http://purl.obolibrary.org/obo/RO_0008506		ecologically co-occurs with	nest	http://purl.obolibrary.org/obo/ENVO_00005803	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/3256268	Sphecodes		Halictidae	blood bee			United States	Idaho	Franklin	low hill adjacnt to Bear River, 3 miles northwest of Preston			sedimentation of the river and was composed mostly of river bottom gravel that was interrupted periodically by narrow veins of coarse-to-fine-grained sand							1974	1974				Torchio, P. F. (1975). The biology of Perdita nuda and descriptions of its immature forms and those of its Sphecodes parasite (Hymenoptera: Apoidea). Journal of the Kansas Entomological Society, 48, 257–279.		TRUE	zachary_brown	larvae collected from cell nest
2412	literatureRecord	https://www.gbif.org/species/1343207	Lisotrigona cacciae		Apidae						http://purl.obolibrary.org/obo/OMIT_0005582		drinking	eye	http://purl.obolibrary.org/obo/OMIT_0006347	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/2436436	Homo sapiens	man	Hominidae	Human	Adult		Thailand	Chiang Mai		in forest, 600 m a.s.l		in forest, 600 m a.s.l	seasonally dry and in everwet climates, in primary and secondary forests, and in more or less synanthropic habitats						600	December 2007 - November 2008	2007-12-01/2008-11-01			10.2317/jkes0811.17.1	Bänziger, H., Boongird, S., Sukumalanand, P., & Bänziger, S. (2009). Bees (Hymenoptera: Apidae) That Drink Human Tears. Journal of the Kansas Entomological Society, 82(2), 135–150. https://doi.org/10.2317/jkes0811.17.1		TRUE	zachary_brown	
2413	literatureRecord	https://www.gbif.org/species/1343207	Lisotrigona cacciae		Apidae						http://purl.obolibrary.org/obo/OMIT_0005582		drinking	eye	http://purl.obolibrary.org/obo/OMIT_0006347	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/2436436	Homo sapiens	man	Hominidae	Human	Adult		Thailand	Chiang Mai		at water fall, Pha Lad forest temple, 300 m from Doi Suthep		at water fall, Pha Lad forest temple, 300 m from Doi Suthep	seasonally dry and in everwet climates, in primary and secondary forests, and in more or less synanthropic habitats							December 2007 - November 2008	2007-12-01/2008-11-01			10.2317/jkes0811.17.1	Bänziger, H., Boongird, S., Sukumalanand, P., & Bänziger, S. (2009). Bees (Hymenoptera: Apidae) That Drink Human Tears. Journal of the Kansas Entomological Society, 82(2), 135–150. https://doi.org/10.2317/jkes0811.17.1		TRUE	zachary_brown	
2414	literatureRecord	https://www.gbif.org/species/1343207	Lisotrigona cacciae		Apidae						http://purl.obolibrary.org/obo/OMIT_0005582		drinking	eye	http://purl.obolibrary.org/obo/OMIT_0006347	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/2436436	Homo sapiens	man	Hominidae	Human	Adult		Thailand	Chiang Mai		near Ton Luang Temple, 760 m a.s.l Chiang Dao		near Ton Luang Temple, 760 m a.s.l Chiang Dao	seasonally dry and in everwet climates, in primary and secondary forests, and in more or less synanthropic habitats						760	December 2007 - November 2008	2007-12-01/2008-11-01			10.2317/jkes0811.17.1	Bänziger, H., Boongird, S., Sukumalanand, P., & Bänziger, S. (2009). Bees (Hymenoptera: Apidae) That Drink Human Tears. Journal of the Kansas Entomological Society, 82(2), 135–150. https://doi.org/10.2317/jkes0811.17.1		TRUE	zachary_brown	
2415	literatureRecord	https://www.gbif.org/species/1343207	Lisotrigona cacciae		Apidae						http://purl.obolibrary.org/obo/OMIT_0005582		drinking	eye	http://purl.obolibrary.org/obo/OMIT_0006347	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/2436436	Homo sapiens	man	Hominidae	Human	Adult		Thailand	Phang Nga		hills above Phang Nga		hills above Phang Nga	seasonally dry and in everwet climates, in primary and secondary forests, and in more or less synanthropic habitats							December 2007 - November 2008	2007-12-01/2008-11-01			10.2317/jkes0811.17.1	Bänziger, H., Boongird, S., Sukumalanand, P., & Bänziger, S. (2009). Bees (Hymenoptera: Apidae) That Drink Human Tears. Journal of the Kansas Entomological Society, 82(2), 135–150. https://doi.org/10.2317/jkes0811.17.1		TRUE	zachary_brown	
2416	literatureRecord	https://www.gbif.org/species/1343207	Lisotrigona cacciae		Apidae						http://purl.obolibrary.org/obo/OMIT_0005582		drinking	eye	http://purl.obolibrary.org/obo/OMIT_0006347	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/2436436	Homo sapiens	man	Hominidae	Human	Adult		Thailand	Phang Nga		hills above Phang Nga		hills above Phang Nga	seasonally dry and in everwet climates, in primary and secondary forests, and in more or less synanthropic habitats							December 2007 - November 2008	2007-12-01/2008-11-01			10.2317/jkes0811.17.1	Bänziger, H., Boongird, S., Sukumalanand, P., & Bänziger, S. (2009). Bees (Hymenoptera: Apidae) That Drink Human Tears. Journal of the Kansas Entomological Society, 82(2), 135–150. https://doi.org/10.2317/jkes0811.17.1		TRUE	zachary_brown	
2417	literatureRecord	https://www.gbif.org/species/1343206	Lisotrigona furva		Apidae						http://purl.obolibrary.org/obo/OMIT_0005582		drinking	eye	http://purl.obolibrary.org/obo/OMIT_0006347	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/2436436	Homo sapiens	man	Hominidae	Human	Adult		Thailand	Chiang Mai		in forest, 600 m a.s.l		in forest, 600 m a.s.l	seasonally dry and in everwet climates, in primary and secondary forests, and in more or less synanthropic habitats						600	December 2007 - November 2008	2007-12-01/2008-11-01			10.2317/jkes0811.17.1	Bänziger, H., Boongird, S., Sukumalanand, P., & Bänziger, S. (2009). Bees (Hymenoptera: Apidae) That Drink Human Tears. Journal of the Kansas Entomological Society, 82(2), 135–150. https://doi.org/10.2317/jkes0811.17.1		TRUE	zachary_brown	
2418	literatureRecord	https://www.gbif.org/species/1343206	Lisotrigona furva		Apidae						http://purl.obolibrary.org/obo/OMIT_0005582		drinking	eye	http://purl.obolibrary.org/obo/OMIT_0006347	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/2436436	Homo sapiens	man	Hominidae	Human	Adult		Thailand	Chiang Mai		at water fall, Pha Lad forest temple, 300 m from Doi Suthep		at water fall, Pha Lad forest temple, 300 m from Doi Suthep	seasonally dry and in everwet climates, in primary and secondary forests, and in more or less synanthropic habitats							December 2007 - November 2008	2007-12-01/2008-11-01			10.2317/jkes0811.17.1	Bänziger, H., Boongird, S., Sukumalanand, P., & Bänziger, S. (2009). Bees (Hymenoptera: Apidae) That Drink Human Tears. Journal of the Kansas Entomological Society, 82(2), 135–150. https://doi.org/10.2317/jkes0811.17.1		TRUE	zachary_brown	
2419	literatureRecord	https://www.gbif.org/species/1343206	Lisotrigona furva		Apidae						http://purl.obolibrary.org/obo/OMIT_0005582		drinking	eye	http://purl.obolibrary.org/obo/OMIT_0006347	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/2436436	Homo sapiens	man	Hominidae	Human	Adult		Thailand	Chiang Mai		garden of former HB residence, 350 m a.s.l., SW of Chiang Mai town		garden of former HB residence, 350 m a.s.l., SW of Chiang Mai town	seasonally dry and in everwet climates, in primary and secondary forests, and in more or less synanthropic habitats						350	December 2007 - November 2008	2007-12-01/2008-11-01			10.2317/jkes0811.17.1	Bänziger, H., Boongird, S., Sukumalanand, P., & Bänziger, S. (2009). Bees (Hymenoptera: Apidae) That Drink Human Tears. Journal of the Kansas Entomological Society, 82(2), 135–150. https://doi.org/10.2317/jkes0811.17.1		TRUE	zachary_brown	
