interactionID	basisOfRecord	sourceTaxonId	sourceTaxonName	sourceVerbatimName	sourceFamilyName	sourceCommonName	sourceSexName	sourceSexID	sourceLifeStageName	sourceAssociatedSequences	interactionTypeId	isNegated	interactionTypeName	targetBodyPartName	targetBodyPartId	experimentalConditionName	experimentalConditionId	targetTaxonId	targetTaxonName	targetVerbatimName	targetFamilyName	targetCommonName	targetLifeStageName	targetAssociatedSequences	country	stateProvince	county	verbatimLocality	localityId	locality	habitat	decimalLatitude	decimalLongitude	minimumElevationInMeters	maximumElevationInMeters	verbatimEventDate	eventDate	eventTime	referenceDoi	referenceCitation	referenceType	primarySource	enteredBy	notes
832	literatureRecord	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=699265	Habropoda depressa		Apidae	California mountain-digger bee	female	http://purl.obolibrary.org/obo/FBcv_0000334	adult		http://purl.obolibrary.org/obo/RO_0002618		visits			urban	http://purl.obolibrary.org/obo/ENVO_01000313		Cistus purpureus		Cistaceae				United States	California	Alameda	Berkeley; University of California, Berkeley; Observatory Hill		Berkeley; University of California, Berkeley; Observatory Hill										Barthell, J., Bromberger, D., Daly, H., & Thorp, R. (1998). Nesting Biology of the Solitary Digger Bee Habropoda depressa (Hymenoptera: Anthophoridae) in Urban and Island Environments. Journal of the Kansas Entomological Society,71(2), 116-136. Retrieved May 11, 2020, from www.jstor.org/stable/25085826	journal article	TRUE	Elaine Tan	1 female present
833	literatureRecord	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=699265	Habropoda depressa		Apidae	California mountain-digger bee	male	http://purl.obolibrary.org/obo/FBcv_0000333	adult		http://purl.obolibrary.org/obo/RO_0002618		visits			urban	http://purl.obolibrary.org/obo/ENVO_01000313		Cistus purpureus		Cistaceae				United States	California	Alameda	Berkeley; University of California, Berkeley; Observatory Hill		Berkeley; University of California, Berkeley; Observatory Hill										Barthell, J., Bromberger, D., Daly, H., & Thorp, R. (1998). Nesting Biology of the Solitary Digger Bee Habropoda depressa (Hymenoptera: Anthophoridae) in Urban and Island Environments. Journal of the Kansas Entomological Society,71(2), 116-136. Retrieved May 11, 2020, from www.jstor.org/stable/25085826	journal article	TRUE	Elaine Tan	3 males present
834	literatureRecord	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=699265	Habropoda depressa		Apidae	California mountain-digger bee	female	http://purl.obolibrary.org/obo/FBcv_0000334	adult		http://purl.obolibrary.org/obo/RO_0002618	TRUE	visits			urban	http://purl.obolibrary.org/obo/ENVO_01000313		Arctostaphylos columbiana		Ericaceae				United States	California	Alameda	Berkeley; University of California, Berkeley; Observatory Hill		Berkeley; University of California, Berkeley; Observatory Hill										Barthell, J., Bromberger, D., Daly, H., & Thorp, R. (1998). Nesting Biology of the Solitary Digger Bee Habropoda depressa (Hymenoptera: Anthophoridae) in Urban and Island Environments. Journal of the Kansas Entomological Society,71(2), 116-136. Retrieved May 11, 2020, from www.jstor.org/stable/25085826	journal article	TRUE	Elaine Tan	0 females present
835	literatureRecord	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=699265	Habropoda depressa		Apidae	California mountain-digger bee	male	http://purl.obolibrary.org/obo/FBcv_0000333	adult		http://purl.obolibrary.org/obo/RO_0002618		visits			urban	http://purl.obolibrary.org/obo/ENVO_01000313		Arctostaphylos columbiana		Ericaceae				United States	California	Alameda	Berkeley; University of California, Berkeley; Observatory Hill		Berkeley; University of California, Berkeley; Observatory Hill										Barthell, J., Bromberger, D., Daly, H., & Thorp, R. (1998). Nesting Biology of the Solitary Digger Bee Habropoda depressa (Hymenoptera: Anthophoridae) in Urban and Island Environments. Journal of the Kansas Entomological Society,71(2), 116-136. Retrieved May 11, 2020, from www.jstor.org/stable/25085826	journal article	TRUE	Elaine Tan	4 males present
836	literatureRecord	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=699265	Habropoda depressa		Apidae	California mountain-digger bee	female	http://purl.obolibrary.org/obo/FBcv_0000334	adult		http://purl.obolibrary.org/obo/RO_0002618	TRUE	visits			urban	http://purl.obolibrary.org/obo/ENVO_01000313		Erica arborea		Ericaceae				United States	California	Alameda	Berkeley; University of California, Berkeley; Observatory Hill		Berkeley; University of California, Berkeley; Observatory Hill										Barthell, J., Bromberger, D., Daly, H., & Thorp, R. (1998). Nesting Biology of the Solitary Digger Bee Habropoda depressa (Hymenoptera: Anthophoridae) in Urban and Island Environments. Journal of the Kansas Entomological Society,71(2), 116-136. Retrieved May 11, 2020, from www.jstor.org/stable/25085826	journal article	TRUE	Elaine Tan	0 females present
837	literatureRecord	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=699265	Habropoda depressa		Apidae	California mountain-digger bee	male	http://purl.obolibrary.org/obo/FBcv_0000333	adult		http://purl.obolibrary.org/obo/RO_0002618		visits			urban	http://purl.obolibrary.org/obo/ENVO_01000313		Erica arborea		Ericaceae				United States	California	Alameda	Berkeley; University of California, Berkeley; Observatory Hill		Berkeley; University of California, Berkeley; Observatory Hill										Barthell, J., Bromberger, D., Daly, H., & Thorp, R. (1998). Nesting Biology of the Solitary Digger Bee Habropoda depressa (Hymenoptera: Anthophoridae) in Urban and Island Environments. Journal of the Kansas Entomological Society,71(2), 116-136. Retrieved May 11, 2020, from www.jstor.org/stable/25085826	journal article	TRUE	Elaine Tan	7 males present
838	literatureRecord	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=699265	Habropoda depressa		Apidae	California mountain-digger bee	female	http://purl.obolibrary.org/obo/FBcv_0000334	adult		http://purl.obolibrary.org/obo/RO_0002622		visits flowers of	flower	http://purl.obolibrary.org/obo/PO_0009046	urban	http://purl.obolibrary.org/obo/ENVO_01000313		Acacia verticillata		Fabaceae				United States	California	Alameda	Berkeley; University of California, Berkeley; Observatory Hill		Berkeley; University of California, Berkeley; Observatory Hill										Barthell, J., Bromberger, D., Daly, H., & Thorp, R. (1998). Nesting Biology of the Solitary Digger Bee Habropoda depressa (Hymenoptera: Anthophoridae) in Urban and Island Environments. Journal of the Kansas Entomological Society,71(2), 116-136. Retrieved May 11, 2020, from www.jstor.org/stable/25085826	journal article	TRUE	Elaine Tan	19 females present, 5 with pollen
839	literatureRecord	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=699265	Habropoda depressa		Apidae	California mountain-digger bee	male	http://purl.obolibrary.org/obo/FBcv_0000333	adult		http://purl.obolibrary.org/obo/RO_0002618		visits			urban	http://purl.obolibrary.org/obo/ENVO_01000313		Acacia verticillata		Fabaceae				United States	California	Alameda	Berkeley; University of California, Berkeley; Observatory Hill		Berkeley; University of California, Berkeley; Observatory Hill										Barthell, J., Bromberger, D., Daly, H., & Thorp, R. (1998). Nesting Biology of the Solitary Digger Bee Habropoda depressa (Hymenoptera: Anthophoridae) in Urban and Island Environments. Journal of the Kansas Entomological Society,71(2), 116-136. Retrieved May 11, 2020, from www.jstor.org/stable/25085826	journal article	TRUE	Elaine Tan	24 males present
840	literatureRecord	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=699265	Habropoda depressa		Apidae	California mountain-digger bee	female	http://purl.obolibrary.org/obo/FBcv_0000334	adult		http://purl.obolibrary.org/obo/RO_0002622		visits flowers of	flower	http://purl.obolibrary.org/obo/PO_0009046	urban	http://purl.obolibrary.org/obo/ENVO_01000313		Genista monospessulana		Fabaceae				United States	California	Alameda	Berkeley; University of California, Berkeley; Observatory Hill		Berkeley; University of California, Berkeley; Observatory Hill										Barthell, J., Bromberger, D., Daly, H., & Thorp, R. (1998). Nesting Biology of the Solitary Digger Bee Habropoda depressa (Hymenoptera: Anthophoridae) in Urban and Island Environments. Journal of the Kansas Entomological Society,71(2), 116-136. Retrieved May 11, 2020, from www.jstor.org/stable/25085826	journal article	TRUE	Elaine Tan	16 females present, 11 with pollen
841	literatureRecord	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=699265	Habropoda depressa		Apidae	California mountain-digger bee	male	http://purl.obolibrary.org/obo/FBcv_0000333	adult		http://purl.obolibrary.org/obo/RO_0002618		visits			urban	http://purl.obolibrary.org/obo/ENVO_01000313		Genista monospessulana		Fabaceae				United States	California	Alameda	Berkeley; University of California, Berkeley; Observatory Hill		Berkeley; University of California, Berkeley; Observatory Hill										Barthell, J., Bromberger, D., Daly, H., & Thorp, R. (1998). Nesting Biology of the Solitary Digger Bee Habropoda depressa (Hymenoptera: Anthophoridae) in Urban and Island Environments. Journal of the Kansas Entomological Society,71(2), 116-136. Retrieved May 11, 2020, from www.jstor.org/stable/25085826	journal article	TRUE	Elaine Tan	18 males present
842	literatureRecord	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=699265	Habropoda depressa		Apidae	California mountain-digger bee	female	http://purl.obolibrary.org/obo/FBcv_0000334	adult		http://purl.obolibrary.org/obo/RO_0002618		visits			urban	http://purl.obolibrary.org/obo/ENVO_01000313		Wisteria sinensis		Fabaceae				United States	California	Alameda	Berkeley; University of California, Berkeley; Observatory Hill		Berkeley; University of California, Berkeley; Observatory Hill										Barthell, J., Bromberger, D., Daly, H., & Thorp, R. (1998). Nesting Biology of the Solitary Digger Bee Habropoda depressa (Hymenoptera: Anthophoridae) in Urban and Island Environments. Journal of the Kansas Entomological Society,71(2), 116-136. Retrieved May 11, 2020, from www.jstor.org/stable/25085826	journal article	TRUE	Elaine Tan	3 females present
